method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedKMeans,123128,2,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,9,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,9,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,6,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,6,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,3,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,3,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,3,50000000,5,InternalError,InternalError,InternalError,20
